issue	ymd	term	record	wan	qian	bai	shi	ge
"180908020"	"2018-09-08"	"20"	"2,0,0,0,5"	"2"	"0"	"0"	"0"	"5"
"180908021"	"2018-09-08"	"21"	"7,7,9,5,9"	"7"	"7"	"9"	"5"	"9"
"180908022"	"2018-09-08"	"22"	"8,1,5,2,3"	"8"	"1"	"5"	"2"	"3"
"180908023"	"2018-09-08"	"23"	"6,6,3,9,3"	"6"	"6"	"3"	"9"	"3"
"180908024"	"2018-09-08"	"24"	"1,7,4,4,7"	"1"	"7"	"4"	"4"	"7"
"180908025"	"2018-09-08"	"25"	"6,6,8,4,6"	"6"	"6"	"8"	"4"	"6"
"180908026"	"2018-09-08"	"26"	"6,0,6,3,1"	"6"	"0"	"6"	"3"	"1"
"180908027"	"2018-09-08"	"27"	"4,4,1,7,8"	"4"	"4"	"1"	"7"	"8"
"180908028"	"2018-09-08"	"28"	"3,3,5,4,9"	"3"	"3"	"5"	"4"	"9"
"180908029"	"2018-09-08"	"29"	"0,9,4,9,3"	"0"	"9"	"4"	"9"	"3"
"180908030"	"2018-09-08"	"30"	"8,5,0,2,8"	"8"	"5"	"0"	"2"	"8"
"180908031"	"2018-09-08"	"31"	"7,5,7,5,4"	"7"	"5"	"7"	"5"	"4"
"180908032"	"2018-09-08"	"32"	"3,1,3,5,4"	"3"	"1"	"3"	"5"	"4"
"180908033"	"2018-09-08"	"33"	"9,4,0,6,5"	"9"	"4"	"0"	"6"	"5"
"180908034"	"2018-09-08"	"34"	"4,9,2,3,0"	"4"	"9"	"2"	"3"	"0"
"180908035"	"2018-09-08"	"35"	"8,0,3,1,1"	"8"	"0"	"3"	"1"	"1"
"180908036"	"2018-09-08"	"36"	"0,7,0,8,5"	"0"	"7"	"0"	"8"	"5"
"180908037"	"2018-09-08"	"37"	"8,5,9,4,4"	"8"	"5"	"9"	"4"	"4"
"180908038"	"2018-09-08"	"38"	"3,4,5,6,7"	"3"	"4"	"5"	"6"	"7"
"180908039"	"2018-09-08"	"39"	"5,6,6,6,4"	"5"	"6"	"6"	"6"	"4"
"180908040"	"2018-09-08"	"40"	"8,2,3,4,6"	"8"	"2"	"3"	"4"	"6"
"180908041"	"2018-09-08"	"41"	"2,8,2,3,7"	"2"	"8"	"2"	"3"	"7"
"180908042"	"2018-09-08"	"42"	"8,9,7,9,7"	"8"	"9"	"7"	"9"	"7"
"180908043"	"2018-09-08"	"43"	"0,0,7,3,0"	"0"	"0"	"7"	"3"	"0"
"180908044"	"2018-09-08"	"44"	"7,4,6,1,2"	"7"	"4"	"6"	"1"	"2"
"180908045"	"2018-09-08"	"45"	"0,3,6,7,1"	"0"	"3"	"6"	"7"	"1"
"180908046"	"2018-09-08"	"46"	"3,6,7,8,5"	"3"	"6"	"7"	"8"	"5"
"180908047"	"2018-09-08"	"47"	"9,5,3,6,3"	"9"	"5"	"3"	"6"	"3"
"180908048"	"2018-09-08"	"48"	"7,1,9,7,6"	"7"	"1"	"9"	"7"	"6"
"180908049"	"2018-09-08"	"49"	"3,5,8,6,6"	"3"	"5"	"8"	"6"	"6"
"180908050"	"2018-09-08"	"50"	"5,2,0,7,5"	"5"	"2"	"0"	"7"	"5"
"180908051"	"2018-09-08"	"51"	"0,7,5,3,3"	"0"	"7"	"5"	"3"	"3"
"180908052"	"2018-09-08"	"52"	"8,4,0,3,6"	"8"	"4"	"0"	"3"	"6"
"180908053"	"2018-09-08"	"53"	"7,7,0,1,9"	"7"	"7"	"0"	"1"	"9"
"180908054"	"2018-09-08"	"54"	"6,4,6,1,2"	"6"	"4"	"6"	"1"	"2"
"180908055"	"2018-09-08"	"55"	"9,5,5,4,2"	"9"	"5"	"5"	"4"	"2"
"180908056"	"2018-09-08"	"56"	"1,3,9,9,7"	"1"	"3"	"9"	"9"	"7"
"180908057"	"2018-09-08"	"57"	"6,7,1,7,5"	"6"	"7"	"1"	"7"	"5"
"180908058"	"2018-09-08"	"58"	"7,1,6,8,3"	"7"	"1"	"6"	"8"	"3"
"180908059"	"2018-09-08"	"59"	"7,4,8,6,5"	"7"	"4"	"8"	"6"	"5"
"180908060"	"2018-09-08"	"60"	"2,7,9,4,8"	"2"	"7"	"9"	"4"	"8"
"180908061"	"2018-09-08"	"61"	"2,3,7,8,4"	"2"	"3"	"7"	"8"	"4"
"180908062"	"2018-09-08"	"62"	"7,8,1,3,7"	"7"	"8"	"1"	"3"	"7"
"180908063"	"2018-09-08"	"63"	"8,6,3,5,3"	"8"	"6"	"3"	"5"	"3"
"180908064"	"2018-09-08"	"64"	"9,2,2,9,0"	"9"	"2"	"2"	"9"	"0"
"180908065"	"2018-09-08"	"65"	"3,7,5,0,2"	"3"	"7"	"5"	"0"	"2"
"180908066"	"2018-09-08"	"66"	"6,3,3,1,6"	"6"	"3"	"3"	"1"	"6"
"180908067"	"2018-09-08"	"67"	"8,0,4,5,4"	"8"	"0"	"4"	"5"	"4"
"180908068"	"2018-09-08"	"68"	"5,6,1,2,3"	"5"	"6"	"1"	"2"	"3"
"180908069"	"2018-09-08"	"69"	"1,1,3,2,2"	"1"	"1"	"3"	"2"	"2"
"180908070"	"2018-09-08"	"70"	"1,2,7,9,9"	"1"	"2"	"7"	"9"	"9"
"180908071"	"2018-09-08"	"71"	"7,4,1,8,6"	"7"	"4"	"1"	"8"	"6"
"180908072"	"2018-09-08"	"72"	"0,0,5,5,4"	"0"	"0"	"5"	"5"	"4"
"180908073"	"2018-09-08"	"73"	"0,6,0,8,5"	"0"	"6"	"0"	"8"	"5"
"180908074"	"2018-09-08"	"74"	"1,5,7,0,6"	"1"	"5"	"7"	"0"	"6"
"180908075"	"2018-09-08"	"75"	"1,5,8,8,2"	"1"	"5"	"8"	"8"	"2"
"180908076"	"2018-09-08"	"76"	"6,8,4,4,2"	"6"	"8"	"4"	"4"	"2"
"180908077"	"2018-09-08"	"77"	"4,2,5,8,0"	"4"	"2"	"5"	"8"	"0"
"180908078"	"2018-09-08"	"78"	"1,1,1,0,8"	"1"	"1"	"1"	"0"	"8"
"180908079"	"2018-09-08"	"79"	"2,3,0,3,2"	"2"	"3"	"0"	"3"	"2"
"180908080"	"2018-09-08"	"80"	"9,1,2,6,1"	"9"	"1"	"2"	"6"	"1"
"180908081"	"2018-09-08"	"81"	"0,7,4,9,0"	"0"	"7"	"4"	"9"	"0"
"180908082"	"2018-09-08"	"82"	"9,3,0,0,9"	"9"	"3"	"0"	"0"	"9"
"180908083"	"2018-09-08"	"83"	"8,0,9,8,1"	"8"	"0"	"9"	"8"	"1"
"180908084"	"2018-09-08"	"84"	"3,9,8,5,8"	"3"	"9"	"8"	"5"	"8"
"180908085"	"2018-09-08"	"85"	"2,7,0,2,2"	"2"	"7"	"0"	"2"	"2"
"180908086"	"2018-09-08"	"86"	"5,5,5,6,5"	"5"	"5"	"5"	"6"	"5"
"180908087"	"2018-09-08"	"87"	"6,0,4,8,8"	"6"	"0"	"4"	"8"	"8"
"180908088"	"2018-09-08"	"88"	"9,3,0,4,3"	"9"	"3"	"0"	"4"	"3"
"180908089"	"2018-09-08"	"89"	"9,2,3,4,8"	"9"	"2"	"3"	"4"	"8"
"180908090"	"2018-09-08"	"90"	"0,8,8,0,8"	"0"	"8"	"8"	"0"	"8"
"180908091"	"2018-09-08"	"91"	"8,4,8,3,6"	"8"	"4"	"8"	"3"	"6"
"180908092"	"2018-09-08"	"92"	"0,3,1,3,4"	"0"	"3"	"1"	"3"	"4"
"180908093"	"2018-09-08"	"93"	"8,6,6,8,3"	"8"	"6"	"6"	"8"	"3"
"180908094"	"2018-09-08"	"94"	"3,1,1,8,5"	"3"	"1"	"1"	"8"	"5"
"180908095"	"2018-09-08"	"95"	"2,1,0,2,3"	"2"	"1"	"0"	"2"	"3"
"180908096"	"2018-09-08"	"96"	"5,0,0,0,5"	"5"	"0"	"0"	"0"	"5"
"180908097"	"2018-09-08"	"97"	"3,6,5,0,4"	"3"	"6"	"5"	"0"	"4"
"180908098"	"2018-09-08"	"98"	"1,8,1,6,2"	"1"	"8"	"1"	"6"	"2"
"180908099"	"2018-09-08"	"99"	"1,4,6,4,7"	"1"	"4"	"6"	"4"	"7"
"180908100"	"2018-09-08"	"100"	"9,1,4,5,8"	"9"	"1"	"4"	"5"	"8"
"180908101"	"2018-09-08"	"101"	"2,1,1,3,0"	"2"	"1"	"1"	"3"	"0"
"180908102"	"2018-09-08"	"102"	"9,8,3,9,5"	"9"	"8"	"3"	"9"	"5"
"180908103"	"2018-09-08"	"103"	"4,1,0,9,0"	"4"	"1"	"0"	"9"	"0"
"180908104"	"2018-09-08"	"104"	"4,4,4,7,1"	"4"	"4"	"4"	"7"	"1"
"180908105"	"2018-09-08"	"105"	"0,2,6,4,0"	"0"	"2"	"6"	"4"	"0"
"180908106"	"2018-09-08"	"106"	"1,5,2,0,4"	"1"	"5"	"2"	"0"	"4"
"180908107"	"2018-09-08"	"107"	"2,4,1,1,7"	"2"	"4"	"1"	"1"	"7"
"180908108"	"2018-09-08"	"108"	"0,3,6,3,2"	"0"	"3"	"6"	"3"	"2"
"180908109"	"2018-09-08"	"109"	"4,7,7,3,1"	"4"	"7"	"7"	"3"	"1"
"180908110"	"2018-09-08"	"110"	"4,7,3,9,9"	"4"	"7"	"3"	"9"	"9"
"180908111"	"2018-09-08"	"111"	"6,1,9,9,5"	"6"	"1"	"9"	"9"	"5"
"180908112"	"2018-09-08"	"112"	"2,6,2,0,3"	"2"	"6"	"2"	"0"	"3"
"180908113"	"2018-09-08"	"113"	"1,4,2,5,6"	"1"	"4"	"2"	"5"	"6"
"180908114"	"2018-09-08"	"114"	"2,2,5,4,8"	"2"	"2"	"5"	"4"	"8"
"180908115"	"2018-09-08"	"115"	"7,5,3,5,1"	"7"	"5"	"3"	"5"	"1"
"180908116"	"2018-09-08"	"116"	"5,5,9,3,4"	"5"	"5"	"9"	"3"	"4"
"180908117"	"2018-09-08"	"117"	"8,4,6,3,9"	"8"	"4"	"6"	"3"	"9"
"180908118"	"2018-09-08"	"118"	"3,8,7,7,3"	"3"	"8"	"7"	"7"	"3"
"180908119"	"2018-09-08"	"119"	"0,0,6,1,8"	"0"	"0"	"6"	"1"	"8"
"180908120"	"2018-09-08"	"120"	"2,5,9,2,0"	"2"	"5"	"9"	"2"	"0"
"180908121"	"2018-09-08"	"121"	"8,4,3,1,6"	"8"	"4"	"3"	"1"	"6"
"180908122"	"2018-09-08"	"122"	"3,9,9,6,7"	"3"	"9"	"9"	"6"	"7"
"180908123"	"2018-09-08"	"123"	"2,1,0,0,3"	"2"	"1"	"0"	"0"	"3"
"180908124"	"2018-09-08"	"124"	"8,4,5,1,9"	"8"	"4"	"5"	"1"	"9"
"180908125"	"2018-09-08"	"125"	"1,4,8,9,5"	"1"	"4"	"8"	"9"	"5"
"180908126"	"2018-09-08"	"126"	"9,6,9,6,7"	"9"	"6"	"9"	"6"	"7"
"180908127"	"2018-09-08"	"127"	"8,5,6,5,9"	"8"	"5"	"6"	"5"	"9"
"180908128"	"2018-09-08"	"128"	"8,5,9,0,2"	"8"	"5"	"9"	"0"	"2"
"180908129"	"2018-09-08"	"129"	"5,0,5,8,6"	"5"	"0"	"5"	"8"	"6"
"180908130"	"2018-09-08"	"130"	"8,6,3,7,1"	"8"	"6"	"3"	"7"	"1"
"180908131"	"2018-09-08"	"131"	"6,5,5,5,7"	"6"	"5"	"5"	"5"	"7"
"180908132"	"2018-09-08"	"132"	"3,3,5,2,6"	"3"	"3"	"5"	"2"	"6"
"180908133"	"2018-09-08"	"133"	"5,5,7,7,9"	"5"	"5"	"7"	"7"	"9"
"180908134"	"2018-09-08"	"134"	"0,2,1,9,8"	"0"	"2"	"1"	"9"	"8"
"180908135"	"2018-09-08"	"135"	"2,6,5,2,6"	"2"	"6"	"5"	"2"	"6"
"180908136"	"2018-09-08"	"136"	"1,5,9,4,8"	"1"	"5"	"9"	"4"	"8"
"180908137"	"2018-09-08"	"137"	"3,4,6,7,6"	"3"	"4"	"6"	"7"	"6"
"180908138"	"2018-09-08"	"138"	"1,4,2,5,3"	"1"	"4"	"2"	"5"	"3"
"180908139"	"2018-09-08"	"139"	"3,0,8,7,3"	"3"	"0"	"8"	"7"	"3"
"180908140"	"2018-09-08"	"140"	"5,2,4,0,5"	"5"	"2"	"4"	"0"	"5"
"180908141"	"2018-09-08"	"141"	"7,7,0,4,2"	"7"	"7"	"0"	"4"	"2"
"180908142"	"2018-09-08"	"142"	"2,0,4,7,0"	"2"	"0"	"4"	"7"	"0"
"180908143"	"2018-09-08"	"143"	"0,6,2,0,3"	"0"	"6"	"2"	"0"	"3"
"180908144"	"2018-09-08"	"144"	"1,9,6,1,3"	"1"	"9"	"6"	"1"	"3"
"180908145"	"2018-09-08"	"145"	"5,2,2,9,6"	"5"	"2"	"2"	"9"	"6"
"180908146"	"2018-09-08"	"146"	"1,9,0,9,3"	"1"	"9"	"0"	"9"	"3"
"180908147"	"2018-09-08"	"147"	"2,7,1,0,3"	"2"	"7"	"1"	"0"	"3"
"180908148"	"2018-09-08"	"148"	"0,4,9,1,0"	"0"	"4"	"9"	"1"	"0"
"180908149"	"2018-09-08"	"149"	"2,2,5,3,3"	"2"	"2"	"5"	"3"	"3"
"180908150"	"2018-09-08"	"150"	"4,9,1,3,5"	"4"	"9"	"1"	"3"	"5"
"180908151"	"2018-09-08"	"151"	"6,9,9,8,7"	"6"	"9"	"9"	"8"	"7"
"180908152"	"2018-09-08"	"152"	"3,4,2,7,3"	"3"	"4"	"2"	"7"	"3"
"180908153"	"2018-09-08"	"153"	"8,6,4,0,2"	"8"	"6"	"4"	"0"	"2"
"180908154"	"2018-09-08"	"154"	"9,3,1,1,6"	"9"	"3"	"1"	"1"	"6"
"180908155"	"2018-09-08"	"155"	"2,3,8,6,4"	"2"	"3"	"8"	"6"	"4"
"180908156"	"2018-09-08"	"156"	"0,1,5,5,9"	"0"	"1"	"5"	"5"	"9"
"180908157"	"2018-09-08"	"157"	"8,9,3,2,5"	"8"	"9"	"3"	"2"	"5"
"180908158"	"2018-09-08"	"158"	"7,4,4,1,6"	"7"	"4"	"4"	"1"	"6"
"180908159"	"2018-09-08"	"159"	"3,7,9,9,3"	"3"	"7"	"9"	"9"	"3"
"180908160"	"2018-09-08"	"160"	"3,9,2,1,8"	"3"	"9"	"2"	"1"	"8"
"180908161"	"2018-09-08"	"161"	"2,2,9,2,3"	"2"	"2"	"9"	"2"	"3"
"180908162"	"2018-09-08"	"162"	"5,3,7,7,6"	"5"	"3"	"7"	"7"	"6"
"180908163"	"2018-09-08"	"163"	"0,5,8,2,7"	"0"	"5"	"8"	"2"	"7"
"180908164"	"2018-09-08"	"164"	"9,5,6,2,4"	"9"	"5"	"6"	"2"	"4"
"180908165"	"2018-09-08"	"165"	"0,9,3,5,2"	"0"	"9"	"3"	"5"	"2"
"180908166"	"2018-09-08"	"166"	"7,2,8,1,9"	"7"	"2"	"8"	"1"	"9"
"180908167"	"2018-09-08"	"167"	"8,0,9,8,4"	"8"	"0"	"9"	"8"	"4"
"180908168"	"2018-09-08"	"168"	"3,6,2,3,9"	"3"	"6"	"2"	"3"	"9"
"180908169"	"2018-09-08"	"169"	"4,7,0,7,1"	"4"	"7"	"0"	"7"	"1"
"180908170"	"2018-09-08"	"170"	"7,3,8,9,5"	"7"	"3"	"8"	"9"	"5"
"180908171"	"2018-09-08"	"171"	"3,8,7,3,7"	"3"	"8"	"7"	"3"	"7"
"180908172"	"2018-09-08"	"172"	"7,3,8,1,2"	"7"	"3"	"8"	"1"	"2"
